Address,Allocation %
0xc69ae428f6049e78d445f053d2c1df879c59b34c,0.03929619810%
0x9329407aa892f027d55bda1cdcab1e375d685c48,0.03915711578%
0x09b77b7d197928225d4aebb72f006b2f76445ff0,0.03892171154%
0x33c244e37d7709338ba9177525da5c7efeb74292,0.03889204470%
0x81b0cbbbc1a69bd7ceca46a61684103bd9a6fb21,0.03887937046%
0xba143a382ba18fc745707f46d98a93df866c4dbe,0.03881864565%
0xfeef8512460e781c59049332116c120fcac1b453,0.03881166051%
0x4a8fad342af1db5317f909714382b478eb4d1846,0.03867185144%
0x85c0ab25c2923acc36c8d5e04d0306777494945e,0.03854402018%
0xafa0e58e1bc1401ac9a0f2662e0f838e54dbdb7a,0.03851740711%
0x0a251df99a88a20a93876205fb7f5faf2e85a481,0.03848600024%
0xf353024c41f31c173c664d44e45d6c5a7f0ffc3b,0.03831104086%
0xb1f2b6afb7570cd6d696fc62736639adea619e5b,0.03820812075%
0xfb365f7761de87e284cdc94ecfa78b8a49e34a6b,0.03810267580%
0xbda4446d94d907fee2f6b7846a0320045a2e9949,0.03804807054%
0x2016dedc02912be50dbed8e8093d1e3ff528bf54,0.03802252189%
0x96289e0c5e166343915352377e13e94f46815ae1,0.03801832599%
0xa1ddd3455a909b6c3efab5ddc0c2706895104a0e,0.03797915103%
0xe32e647a120f05062a7bc849864b9ad9d481ff3b,0.03790874212%
0x9f01adf9b4876a8ef35d92e30e9d6e798078ca9a,0.03787996799%
